NodeId,Title,Authors,Date
9406211,Representation theory and tensor product theory for vertex operator,A. Ghosh and P. Mitra (Saha Institute of Nuclear Physics),1994-06-02
9406212,Perturbative Renormalizations of Anyon Quantum Mechanics,G. Amelino-Camelia,1994-06-02
9406213,Schroedinger Self-adjoint Extension and Quantum Field Theory,G. Amelino-Camelia and D. Bak,1994-06-02
9406214,The Supersymmetric Two Boson Hierarchies,J. C. Brunelli and A. Das,1994-06-02
9406215,Quantum integrability of nonultralocal models through Baxterisation of,Ladislav Hlavaty and Anjan Kundu,1994-06-02
9406216,Low energy effective string cosmology,"E. J. Copeland, Amitabha Lahiri and David Wands",1994-06-02
9406217,Matter couplings in partially broken extended supersymmetry,J. Bagger and A. Galperin,1994-06-02
9410201,Linear Connections in Non-Commutative Geometry,J. Mourad,1994-10-03
9410202,Octonion X-product orbits,J. Mourad,1994-10-03
9410203,Regular Conjugacy Classes in the Weyl Group and Integrable Hierarchies,F. Delduc and L. Feher,1994-10-03
9410204,Functional determinants and effective actions:Corrigenda,J.S.Dowker and J.S.Apps,1994-10-03
9410205,S-Dual Gaugino Condensation and Supersymmetry Breaking,"Z. Lalak, A. Niemeyer and H.P. Nilles",1994-10-03
9410206,String GUTs,"G. Aldazabal, A. Font, L.E. Ibanez and A.M. Uranga",1994-10-03
9410207,Diff invariant Poincare transformations as deformation of Poincare,"M.Pitk\""anen",1994-10-04
9410208,On spectral theory of quantum vertex operators,"M.Pitk\""anen",1994-10-04
9410209,On Structure Constants of $sl(2)$ Theories,"M.Pitk\""anen",1994-10-04
9410210,Classical/Quantum Duality,M. J. Duff,1994-10-04
9410211,Equations from Non-Linear Chiral Transformations,"J.L. Jacquot, J. Richert and M. Umezawa",1994-10-04
9410212,Curved Four-Dimensional Spacetime as Infrared Regulator in Superstring,"E. Kiritsis, C. Kounnas",1994-10-04
9410213,Geometric Phases and Mielnik's Evolution Loops,David J. Fern\'andez C,1994-10-04
9410214,Critical Behaviour of a Fermionic Random Matrix Model at Large-N,"Nicole Marshall, Gordon W. Semenoff and Richard J. Szabo",1994-10-04
9410215,Strings Near a Rindler Or Black Hole Horizon,David A. Lowe and Andrew Strominger,1994-10-04
9410216,4D Edge Currents from 5D Chern-Simons Theory,K.S.Gupta and A.Stern,1994-10-04
9410217,Integrable Systems in Stringy Gravity,D.V. Gal'tsov,1994-10-04
9410218,Continuous Symmetries of Lattice Conformal Field Theories and their,P.S. Montague,1994-10-04
9410219,Semi-Classical Quantization of Circular Strings in De Sitter and Anti De,"H.J. de Vega, A.L. Larsen and N. Sanchez",1994-10-04
9410220,Finite-Difference Equations in Relativistic Quantum Mechanics,V. Aldaya and J. Guerrero,1994-10-05
9410221,Fermionic Coset Realization of the Critical Ising Model,D.C.Cabra and K.D.Rothe,1994-10-05
9410222,String Theory and ALE Instantons,"M.Bianchi, F.Fucito, G.C.Rossi and M.Martellini",1994-10-05
9410223,Higher covariant derivative Pauli-Villars regularization does not lead,C.P. Martin and F. Ruiz Ruiz,1994-10-05
9410224,"A BRST charge for non-critical $\W_{2,s}$ strings",L. Palacios,1994-10-05
9410225,Relativistic Aharonov-Bohm-Coulomb Problem,C.R. Hagen and D.K. Park,1994-10-05
9410226,The Bosonic String Measure at Two and Three Loops and Symplectic,Simon Davis,1994-10-05
9410227,Distance Formula for Grassmann Manifold --Applied to Anandan--Aharonov,"Minoru Hirayama, Takeshi Hamada and Jin Chen",1994-10-05
9410228,Integrable many-body problems from the field theories,Alexander Gorsky,1994-10-05
9410230,Duality Versus Supersymmetry and Compactification,"E. Bergshoeff, R. Kallosh and T. Ort\'{\i}n",1994-10-05
9410231,Chiral Perturbation Theory in the Framework of Non-Commutative Geometry,"F. Ardalan, K. Kaviani",1994-10-06
9410232,generalised q-deformed oscillators and their statistics,Dao Vong Duc,1994-10-06
9410233,$c_M<1$ String Theory as a Constrained Topological Sigma Model,Pablo M. Llatas and Shibaji Roy,1994-10-06
9410234,Dynamic Monte Carlo Measurement of Critical Exponents,"Z.B. Li, L. Schuelke, and B. Zheng",1994-10-06
9410235,The Heavy Quark Potential in Two-Dimentional QCD with Adjoint Matter,T.H. Hansson and Rodanthy Tzani,1994-10-06
9410236,On a non-CP-violating electric dipole moment of elementary particles,J. Giesen,1994-10-06
9410237,An Introduction to T-Duality in String Theory,"E. Alvarez, L. Alvarez-Gaume and Y. Lozano",1994-10-06
9410238,Basic structures of the covariant canonical formalism for fields based,Igor V. Kanatchikov,1994-10-06
9410239,Auxiliary Fields for Super Yang-Mills from Division Algebras,Jonathan M. Evans,1994-10-06
9410240,Light-Cone Quantization of Electrodynamics,David G. Robertson,1994-10-06
9410241,Introduction to Braided Geometry and $q$-Minkowski Space,David G. Robertson,1994-10-06
9410242,A Scheme Independent Definition of $\Lambda_{\rm QCD}$,Hidenori Sonoda,1994-10-06
9410243,Light Front Hamiltonian for Transverse Lattice QCD,Paul A. Griffin,1994-10-07
9410244,A Solution of the Maxwell-Dirac Equations in 3+1 Dimensions,A. Garrett Lisi,1994-10-07
9411201,Thirring Model as a Gauge Theory,"Taichi Itoh, Yoonbai Kim, Masaki Sugiura, and Koichi Yamawaki",1994-11-01
9411202,Conserved currents and gauge invariance in Yang-Mills theory,"Glenn Barnich, Friedemann Brandt and Marc Henneaux",1994-11-01
9411203,ADE functional dilogarithm identities and integrable models,F.Gliozzi and R.Tateo,1994-11-01
9411204,c>1 Non-Critical Strings and Large-N Matrix Field Theory,F.Antonuccio and S.Dalley,1994-11-01
9411205,Gauged Hyperinstantons and Monopole Equations,Damiano Anselmi and Pietro Fre',1994-11-01
9411206,Nodes as Composite Operators in Matrix Models,Damiano Anselmi and Pietro Fre',1994-11-02
9411207,N-point matrix elements of dynamical vertex operators of the higher spin,A.H. Bougourzi,1994-10-31
9411208,Models for Operads,Martin Markl,1994-11-02
9411209,Irrational Conformal Field Theory on the Sphere and the Torus,Martin Markl,1994-11-02
9411210,"Lectures on 2D Yang-Mills Theory, Equivariant Cohomology and Topological","Stefan Cordes, Gregory Moore, and Sanjaye Ramgoolam",1994-11-02
9411211,Asymptotics of Solutions of the Discrete String Equation,"Stefan Cordes, Gregory Moore, and Sanjaye Ramgoolam",1994-11-02
9411212,Relativistic Elastomechanics is a Gauge--Type Theory,Jerzy Kijowski,1994-11-02
9411213,$W_\infty$ Algebra and Geometric Formulation of QCD$_2$,Jerzy Kijowski,1994-11-02
9411214,The heat kernel for deformed spheres,N. Shtykov and D.V.Vassilevich,1994-11-02
9411215,"Fixed points, saddle points and universality",N. Shtykov and D.V.Vassilevich,1994-11-03
9411216,Higher Derivative Four-Fermion Model in Curved Spacetime,"E. Elizalde, S. Leseduarte and S.D. Odintsov",1994-11-03
9411217,Classical Solutions of 2D String Theory in any Curved Spacetime,"E. Elizalde, S. Leseduarte and S.D. Odintsov",1994-11-03
9411218,The symmetry algebra of the N-dimensional anisotropic quantum harmonic,"Dennis Bonatsos, C. Daskaloyannis, P. Kolokotronis, D. Lenis",1994-11-03
9411219,Effect of Self-Interaction on Charged Black Hole Radiance,Per Kraus and Frank Wilczek,1994-11-03
9411220,Chern-Simons and WZNW Theories and the Quark-Gluon Plasma,Per Kraus and Frank Wilczek,1994-11-03
9411221,On the Lagrangian Realization of Non-Critical ${\cal W}$-Strings,"Alex Deckmyn, Ruud Siebelink, Walter Troost and Alexander Sevrin",1994-11-03
9411222,The All-Genus String Effective Action,Rulin Xiu,1994-11-04
9411223,Gauge Field Theories on Riemann Surfaces,Rulin Xiu,1994-11-04
9411224,Canonical Quantization of the Maxwell-Chern-Simons Theory in the Coulomb,"F. P. Devecchi, M. Fleck, H. O. Girotti (UFRGS-Brasil), M. Gomes and",1994-11-04
9411225,Massive particle creation in a static 1+1 dimensional spacetime,"D.J.Lamb, A.Z.Capri and S.M. Roy",1994-11-02
9411226,Critical Temperature and Amplitude Ratios from a Finite-Temperature,"M.A. van Eijck, Denjoe O'Connor and C.R. Stephens",1994-11-04
9411227,Indications for Gluon Condensation from Nonperturbative Flow Equations,"M. Reuter, C. Wetterich",1994-11-05
9411228,Lattice Regularization of Gauge Theories Without Loss of Chiral Symmetry,"M. Reuter, C. Wetterich",1994-11-05
9411229,The generalized chiral Schwinger model on the two-sphere,A. Bassetto and L. Griguolo,1994-11-05
9411230,Tachyonic neutrinos?,A. Bassetto and L. Griguolo,1994-11-05
9411231,Transonic Elastic Model for Wiggly Goto-Nambu String,Brandon Carter,1994-11-05
9411232,On Field Theories of Loops,Brandon Carter,1994-11-07
9411233,Oscar Klein and Gauge Theory,Brandon Carter,1994-11-07
9411234,Arithmetic Properties of Mirror Map and Quantum Coupling,Bong H. Lian and Shing-Tung Yau,1994-11-07
9411235,Covariant Duality Symmetric Actions,A. Khoudeir and N. Pantoja,1994-11-07
9411236,Exclusion statistics and many-particle states,P. Mitra,1994-11-07
9411237,Discrete spectral shift in an anisotropic universe,"D.J.Lamb, A.Z.Capri and M. Kobayashi",1994-11-07
9411238,The $\zeta$-function answer to parity violation in three dimensional,"R.E.Gamboa Saravi, G.L.Rossini and F.A.Schaposnik",1994-11-08
9411239,"Dynamical Chiral Symmetry Breaking, Goldstone's Theorem and the","R.E.Gamboa Saravi, G.L.Rossini and F.A.Schaposnik",1994-11-08
9411240,Integrable Systems with Pairwise Interactions and Functional Equations,"R.E.Gamboa Saravi, G.L.Rossini and F.A.Schaposnik",1994-11-08
9411241,Solutions of the Yang-Baxter Equation with Extra Non-Additive Parameters,"Gustav W. Delius, Mark D. Gould, Jon R. Links and Yao-Zhong Zhang",1994-11-08
9411242,On Conformal Properties of the Dualized Sigma-Models,"Gustav W. Delius, Mark D. Gould, Jon R. Links and Yao-Zhong Zhang",1994-11-08
9411243,Representations of Super Yangian,"Gustav W. Delius, Mark D. Gould, Jon R. Links and Yao-Zhong Zhang",1994-11-08
9412201,The Problem of Ground State in Thermo-Field Dynamics,A. A. Abrikosov Jr,1994-12-01
9412202,"Conformal, Integrable and Topological Theories, Graphs and Coxeter",A. A. Abrikosov Jr,1994-12-01
9412203,Free Variables and the Two Matrix Model,M. R. Douglas (Rutgers University) and M. Li (Brown University),1994-12-01
9412204,Light-Front Quantization and Spontaneous Symmetry Breaking,M. R. Douglas (Rutgers University) and M. Li (Brown University),1994-12-01
9412205,Phase Transition in Scalar Theory Quantized on the Light-Front,M. R. Douglas (Rutgers University) and M. Li (Brown University),1994-12-01
9412206,The Monopole Equations in Topological Yang-Mills,R. Brooks and A. Lue,1994-12-01
9412207,Elliptic quantum groups,Giovanni Felder,1994-12-01
9412208,Dirac Monopoles and Witten's Monopole Equations,Giovanni Felder,1994-12-01
9412209,Threshold Corrections and Symmetry Enhancement in String,"Gabriel Lopes Cardoso, Dieter L\""{u}st and Thomas Mohaupt",1994-12-01
9412210,W-Strings on Group Manifolds,A. Mikovic\'c and B. Sazdovi\'c,1994-12-01
9412211,Black Hole Entropy,A. Mikovic\'c and B. Sazdovi\'c,1994-12-01
9412212,Temporal-gauge String Field with Open Strings,A. Mikovic\'c and B. Sazdovi\'c,1994-12-01
9412213,Recent developments in affine Toda field theory,E Corrigan,1994-12-01
9412214,To the problem of 1/Nc approximation in the Nambu-Jona-Lasinio model,"D.Ebert,M.Nagy.M.K.Volkov",1994-12-02
9412215,Random Walk Construction of Spinor Fields on Three Dimensional Lattice,"Masako Asano, Chigak Itoi and Shin-Ichi Kojima",1994-12-02
9412217,"Interaction of Dual N=1, D=10 Supergravity with Yang-Mills Matter","N.A.Saulina, M.V.Terentiev, K.N.Zyablyuk",1994-12-02
9412218,Operator Ordering Problem of the Nonrelativistic Chern-Simons Theory,Mu-In Park and Young-Jai Park,1994-12-02
9412219,Differential Equations Associated to The SU(2) WZNW Model on Elliptic,Mu-In Park and Young-Jai Park,1994-12-02
9412220,Noncommutative Geometry and a Discretized Version of Kaluza-Klein Theory,"Nguyen Ai Viet, Kameshwar C. Wali (Physics Department, Syracuse U.)",1994-12-02
9412221,Field theory of anyons in the lowest Landau level,"T.H. Hansson (Stockholm Univ.), J.M. Leinaas, S. Viefers (Oslo Univ.)",1994-12-02
9412222,Vector Multiplets and the Phases of N = 2 Theories in 2D Through the,"S. James Gates, Jr",1994-12-02
9412224,On Quantum Black Holes,Yoichi Kazama,1994-12-03
9412225,Dynamical Supersymmetry of a Vortex System with $1/r^{2}$ Potential,Younghoon Park and Yongsung Yoon,1994-12-03
9412226,"Calculation of Gromov-Witten invariants for $ CP^{3},CP^{4}$,and",Masao Jinzenji and Yi Sun,1994-12-04
9412227,Modification of Matrix Models by Square Terms of Scaling Operators,Masao Jinzenji and Yi Sun,1994-12-04
9412228,"Antibracket, Antifields and Gauge-Theory Quantization","Joaquim Gomis, Jordi Paris and Stuart Samuel",1994-12-04
9412229,"Integrable Structure of Conformal Field Theory, Quantum KdV Theory and","V. Bazhanov, S. Lukyanov, A. Zamolodchikov",1994-12-05
9412230,Universal correlations for deterministic plus random Hamiltonians,"E. Brezin, S. Hikami and A.Zee",1994-12-05
9412231,"Vertex--Operatoren, Darstellungen der Virasoro--Algebra und konforme","E. Brezin, S. Hikami and A.Zee",1994-12-05
9412232,"Black Hole Spectrum, Horison Quantization and All That",Ian I. Kogan,1994-12-05
9412233,Generalized Pauli-Villars regularization for undoubled lattice fermions,Ian I. Kogan,1994-12-05
9412234,Introductory Lectures on Low Energy Supersymmetry,Ian I. Kogan,1994-12-05
9412235,Four Dimensional String-String Solutions and Symmetries of String,Ian I. Kogan,1994-12-05
9412236,Summing the Instantons: Quantum Cohomology and Mirror Symmetry in Toric,David R. Morrison and M. Ronen Plesser,1994-12-05
9412237,Generalized Quantum Inverse Scattering,David R. Morrison and M. Ronen Plesser,1994-12-05
9412238,Generalising The Concept Of Maximal Symmetry Of Spacetimes In The,"Debashis Gangopadhyay, Soumitra Sengupta",1994-12-05
9412239,Light-Front Dynamics of Chern-Simons Systems,"Debashis Gangopadhyay, Soumitra Sengupta",1994-12-05
9412240,Light-front Quantized Scalar Field Theory and Phase Transition,"Debashis Gangopadhyay, Soumitra Sengupta",1994-12-05
9412241,"Non--Commutative (Quantum) Probability, Master Fields and Stochastic","L.Accardi, Y.G.Lu and I.Volovich",1994-12-05
9412242,From N=2 Fermionic Strings to Superstrings?,"L.Accardi, Y.G.Lu and I.Volovich",1994-12-05
9412243,Spacetime Structures and Physical Theories,"L.Accardi, Y.G.Lu and I.Volovich",1994-12-05
9412244,Notes on Lagrangean and Hamiltonian Symmetries,"L.Accardi, Y.G.Lu and I.Volovich",1994-12-06
9503201,Topological QCD,H.C. Kao and K. Lee,1995-03-01
9503202,The Black Hole Entropy Can Be Smaller than A/4,"Francois Englert, Laurent Houart, Paul Windey",1995-03-01
9503203,Curiosities on Free Fock Spaces,"Francois Englert, Laurent Houart, Paul Windey",1995-03-01
9503204,Lie algebra cohomology and group structure of gauge theories,Hyun Seok Yang and Bum-Hoon Lee,1995-03-01
9503205,"Ghost-Free Spectrum of a Quantum String in SL(2,R) Curved Spacetime",Hyun Seok Yang and Bum-Hoon Lee,1995-03-01
9503206,Planckian Scattering and Shock Wave Mixing in General Relativity and,Hyun Seok Yang and Bum-Hoon Lee,1995-03-01
9503207,Planar Duality in $SU(2)$ WZW Models,"G. Pradisi, A. Sagnotti and Ya.S. Stanev",1995-03-01
9503208,Stable Singularities in String Theory,Paul S. Aspinwall and David R. Morrison (with an appendix by Mark,1995-03-02
9503209,ON GRAVITATIONAL DRESSING OF 2D FIELD THEORIES IN CHIRAL GAUGE,Adel Bilal and Ian. I. Kogan,1995-03-01
9503210,BRST properties of spin fields,L. Dolan and S. Horvath ,1995-03-02
9503211,"Integrable Lax Hierarchies, their Symmetry Reductions and Multi-Matrix",H. Aratyn,1995-03-02
9503212,"Criteria for Conformal Invariance of (0,2) Models",Eva Silverstein and Edward Witten,1995-03-02
9503213,GEOMETRICAL STRING and DUAL SPIN SYSTEMS,"G.K.Savvidy, K.G.Savvidy and F.J.Wegner.",1995-03-02
9503214,Odd Poisson Bracket in Hamilton's Dynamics,V.A. Soroka,1995-03-02
9503215,Ambiguity of the one-loop calculations in a nonrenormalizable quantum,M. Yu. Kalmykov and P. I. Pronin,1995-03-02
9503216,A tachyonic extension of the stringy no-go theorem,"Swapna Mahapatra, Karmadeva Maharana and Lambodar P. Singh",1995-03-02
9503217,Extensions of the matrix Gelfand-Dickey hierarchy from generalized,Laszlo Feher and Ian Marshall,1995-03-02
9503218,Colliding Gravitational Plane Waves in Dilaton Gravity.,Metin Gurses and Emre Sermutlu.,1995-03-03
9503219,Example of a Poincare anomaly in relativistic quantum mechanics,Metin Gurses and Emre Sermutlu.,1995-03-03
9503220,General Correlation Functions in the Schwinger Model at Zero and Finite,"James V. Steele, Ajay Subramanian, and Ismail Zahed",1995-03-03
9503221,"Nontrivial, Asymptotically Non-free Gauge Theories and Dynamical","James V. Steele, Ajay Subramanian, and Ismail Zahed",1995-03-05
9503222,The Nappi-Witten string in the light-cone gauge,"P. Forg\'acs, P.A. Horv\'athy, Z. Horv\'ath and L. Palla",1995-03-03
9503223,Multidimensional Classical and Quantum Cosmology with Perfect Fluid,V. D. Ivashchuk and V. N. Melnikov,1995-03-03
9503224,What's Wrong with Pauli-Villars Regularization in $QED_{3}$ ?,B. M. Pimentel and J. L. Tomazelli,1995-03-03
9503225,Non-Compact Pure Gauge QED in 3D is Free,B. M. Pimentel and J. L. Tomazelli,1995-03-03
9503226,Target Space Duality between Simple Compact Lie Groups and Lie Algebras,Orlando Alvarez and Chien-Hao Liu,1995-03-03
9503227,Boundary energy and boundary states in integrable quantum field theories,"A. LeClair, G. Mussardo, H. Saleur, S. Skorik",1995-03-03
9503228,STRINGY EVIDENCE FOR D=11 STRUCTURE IN STRONGLY COUPLED TYPE II-A,"A. LeClair, G. Mussardo, H. Saleur, S. Skorik",1995-03-03
9503229,The $W_{1 + \infty }$ effective theory of the Calogero- Sutherland model,"R. Caracciolo, A. Lerda, G. R. Zemba",1995-03-03
9503230,Five-loop renormalization group functions of ${O}(n)$-symmetric,"H. Kleinert, J. Neu, V. Schulte-Frohlinde (Freie Universit""at Berlin),",1995-03-03
9503231,Modular Invariance and the Finiteness of Superstring Theory,"H. Kleinert, J. Neu, V. Schulte-Frohlinde (Freie Universit""at Berlin),",1995-03-03
9503232,The String Measure and Spectral Flow of Critical N=2 Strings,"Sergei Ketov and Olaf Lechtenfeld (ITP, University of Hanover)",1995-03-04
9503233,Fractional dimensional Hilbert spaces and Haldane's exclusion statistics,"Sergei Ketov and Olaf Lechtenfeld (ITP, University of Hanover)",1995-03-04
9503234,"Charges, Monopoles and Duality Relations","Sergei Ketov and Olaf Lechtenfeld (ITP, University of Hanover)",1995-03-04
9503235,Loop scattering in two-dimensional QCD,"E. Abdalla, M.C.B. Abdalla",1995-03-04
9503236,A Generalization of Quantum Statistics,"Wei Chen, Jack Y. Ng, and Hendrik van Dam (UNC at Chapel Hill)",1995-03-05
9503237,A Truly Crazy Idea About Type-IIB Supergravity and Heterotic,"S. James Gates Jr. , V.G.J. Rodgers",1995-03-06
9506201,Excitation Spectra of Spin Models constructed from Quantized Affine,Brian Davies and Masato Okado,1995-06-01
9506202,Area-Preserving Algebra Structure of Two-Dimensional Supergravity,D.R. Karakhanyan,1995-06-01
9506203,On the Perturbative Equivalence Between the Hamiltonian and Lagrangian,I. A. Batalin and I. V. Tyutin,1995-06-01
9506204,Functional determinants on certain domains,J.S.Dowker and J.S.Apps,1995-06-01
9506205,Infinite-dimensional algebras in dimensionally reduced string theory,Alexandros A. Kehagias,1995-06-01
9506206,Two-dimensional Quantum-Corrected Eternal Black Hole,Alexandros A. Kehagias,1995-06-01
9506207,S-Duality Constraints On Effective Potentials For Gaugino Condensation,"Pierre Binetruy, Mary K. Gaillard",1995-06-01
9506208,Five-Dimensional BF Theory and Four-Dimensional Current Algebra,"S. Emery, H. Jirari, O. Piguet",1995-06-01
9506209,Anomalous commutator corrections to sum rules,"S. Emery, H. Jirari, O. Piguet",1995-06-01
9506210,Algebraic and Geometric Structures in String Backgrounds,Bong H. Lian and Gregg J. Zuckerman,1995-06-01
9506211,The Electric Charge of a Dirac Monopole at Nonzero Temperature,Claudio Coriano' and Rajesh R. Parwani,1995-06-01
9506212,Bi-module Properties of Group-Valued Local Fields and Quantum-Group,Ling-Lie Chau and Itaru Yamanaka (UC Davis),1995-06-01
9506213,Symmetries of Four-dimensional String Effective Action with Cosmological,J. Maharana and H. Singh,1995-06-01
9506214,Strings Next To and Inside Black Holes,"H.J. de Vega, I. L. Egusquiza",1995-06-01
9506215,Thermodynamic Bethe Ansatz and Dilogarithm Identities I,Edward Frenkel and Andras Szenes,1995-06-01
9510201,General Triplectic Quantization,"Igor Batalin,Robert Marnelius",1995-10-02
9510202,Cosmic p-branes,"Igor Batalin,Robert Marnelius",1995-10-02
9510204,Integrable Structures in Supersymmetric Gauge and String Theory,"Igor Batalin,Robert Marnelius",1995-10-02
9510205,Partial summation of the nonlocal expansion for the gravitational,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02
9510206,Algorithms for the calculation of the heat kernel coefficients,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02
9510207,Black Hole Condensation and Duality in String Theory,"A. G. Mirzabekian, G. A. Vilkovisky, V. V. Zhytnikov",1995-10-02
9510208,Spin/disorder correlations and duality in the c=1/2 string,"Sean M. Carroll, Miguel E. Ortiz and Washington Taylor IV",1995-10-02
9510209,Heterotic and Type I String Dynamics from Eleven Dimensions,Petr Horava and Edward Witten,1995-10-02
9510210,The Master Field for QCD and $q$-Deformed Quantum Field Theory,I.Ya.Aref'eva and I.V.Volovich,1995-10-03
9510211,Tau-functions as highest weight vectors for W_{1+infty} algebra,"B.Bakalov, E.Horozov, M.Yakimov (Sofia University, Bulgaria)",1995-10-03
9510212,Black Hole Information vs. Locality,"B.Bakalov, E.Horozov, M.Yakimov (Sofia University, Bulgaria)",1995-10-03
9510213,Doubly Supersymmetric Geometric Approach for Heterotic String: from,"B.Bakalov, E.Horozov, M.Yakimov (Sofia University, Bulgaria)",1995-10-03
9510214,On the Meissner effect in the Relativistic Anyon superconductors,"M.Eliashvili, G.Tsitsishvili",1995-10-03
9510215,The Scalar Potential in Noncommutative Geometry,"M.Eliashvili, G.Tsitsishvili",1995-10-03
9510216,On a Zero Curvature Representation for Bosonic Strings and $p$-Branes,"M.Eliashvili, G.Tsitsishvili",1995-10-03
9510217,Noncommutative Lattices as Finite Approximations and Their,"A.P. Balachandran, G. Bimonte, E. Ercolessi, G. Landi, F. Lizzi, G.",1995-10-03
9510218,Gromov-Witten Invariants via Algebraic Geometry,"A.P. Balachandran, G. Bimonte, E. Ercolessi, G. Landi, F. Lizzi, G.",1995-10-03
9510219,Singular Perturbations in Quantum Field Theory,V.E. Rochev and P.A. Saponov,1995-10-03
9510220,New supersymmetric generalization of the Liouville equation,"Igor Bandos, Dmitrij Sorokin and Dmitrij Volkov",1995-10-03
9510221,Quark mass correction to the string potential,G. Lambiase and V.V. Nesterenko,1995-10-04
9510222,"Chiral Rings, Singularity Theory and Electric-Magnetic Duality","D. Kutasov, A. Schwimmer and N. Seiberg",1995-10-04
9510223,"String Unification, Higher-Level Gauge Symmetries, and Exotic","Keith R. Dienes, Alon E. Faraggi, and John March-Russell",1995-10-04
9510224,Towards effective topological gauge theories on spectral curves,"A.Gorsky, A.Marshakov",1995-10-04
9510225,D-Strings on D-Manifolds,"M. Bershadsky, V. Sadov and C. Vafa",1995-10-04
9510226,Symbolic Computing with Grassman Variables,"E.S. Cheb-Terrab (Symb. Comp. Group, DFT-UERJ, Brazil)",1995-10-04
9510227,New Vacua for Type II String Theory,Joseph Polchinski and Andrew Strominger,1995-10-04
9510228,A Chiral $SU(N)$ Gauge Theory and its Non-Chiral $Spin(8)$ Dual,Joseph Polchinski and Andrew Strominger,1995-10-05
9510229,A Note on Marginally Stable Bound States in Type II String Theory,Joseph Polchinski and Andrew Strominger,1995-10-05
9510230,Classical and quasi-classical aspects of supersymmetric quantum,"Georg Junker, Stephan Matthiesen and Akira Inomata",1995-10-05
9510231,How to Create a 2-D Black Hole,"V. Frolov, S. Hendy and A.L. Larsen",1995-10-05
9510232,Three-loop contributions to the free energy of $\lambda\varphi^4$ QFT,"A.I.Bugrij, V.N.Shadura (Bogoliubov Institute for Theoretical Physics,",1995-10-05
9510233,Notes on a singular Landau-Ginzburg family,"A.I.Bugrij, V.N.Shadura (Bogoliubov Institute for Theoretical Physics,",1995-10-05
